text,emotion
mn el hagat el btkhale dmaghe t3ml error,negative
matb2ash sakhif w to3od tezen hwa msh 3ayz,negative
el taghyer helw,positive
zolm,negative
msh kfaya amr diab,negative
yalahwy 3al hekam,positive
hozn badre awe el nahrda,negative
aktur wahda ana shayfha amar fel hayah ana aktur wahd hya mabete2hosh,negative
ehsasek ghalat,negative
zeino btehky details tare2a tohfa,positive
3adad el nas el bakalmhom el fatra de maykamelosh talata walhy,negative
banat ukraine eh yasta msh lma bto3 baladak ye3abarok el awel,negative
da3et heibet el haz,negative
fe 2020 bardu kona a3den ne2ol la el corona ba3eda 3an masr,negative
ne2abelhom fel akhra ba2a,negative
msh ader,negative
mehtag anzl maa sohabe el metefe2 maahom ba2ale sana abl el 3alam yentehy,negative
ya3eeny ukraine btede3ek dlwaty,negative
takhayal to3od tethayel ala ashan ye2olak hwa meday2 leh,negative
ha2olak ana ala mabda2 helw ay tela2eh metghayar maak mn gher sabab seebo,negative
el nas byb2o dakhlen yet3amlo maak enak temporary fe hayathom,negative
mo3afra ashan eh bs battalnaha khalas ana msh dakhel harb,negative
data structure de ghareba gdan,negative
msh ader 2ereft,negative
3ayz application y3arafny el bytesel 3ayz eh mn abl arod,negative
el doctor da toxic,negative
ana ba2ol kda bardu,positive
sho3or sa3b gdan ya3eeny,negative
hanebda2 seyah badre kda,negative
da msh gadwal lectures da gadwal eqama fel koleya,negative
harfyn bahes nafse azka wahed,positive
helm hayate aroh el gam3a faye2,negative
3adad el sa3at el banamo da gher ensany,negative
hahahahahahha helwa mnakk,positive
eh el oghneya el tohfa de msh ha2olha lhad,positive
eh el mahzala de,negative
lesa bn2ol besmellah rah ayelak quiz,negative
ba2olak eh ba2a msh hanenhar mn abl el term yebda2 yaany,negative
brahtek ana kda kda hatgawezek fel akher,positive
w ba3den el gaw wehesh el yomen dol hanroh el gam3a ezay,negative
w m3ana masa aktur wahda btseeh mn el gam3a asasan,negative
nefse atkharrag w ashof el hayah 3amla ezay mn gher mozakra,negative
el ta3lem da mashro3 fashel,negative
khaf mn el neyeto msh bayna,negative
zero dehk,negative
la fokek da gamda,positive
ghaleban masha3er el odamak aham mn enak tehrego,negative
mabyhsalsh m3ana leh el kalam da,negative
el hayah de ghareba gdan walhy,negative
hagat kter awe makantsh mehtaga kol el ehtmam da w hagat tanya ahmaltaha,negative
el wahed lw rege3 beh el zaman 10 senen maslan mehtag yesalah hagat kter,negative
matgesh mnak enta ya sahby,negative
3ayz ahke lhad mashakle w ba3den a2telo,negative
ehna sohab mn el nahrda,positive
leh bs,negative
mafehash noom fel leila de,negative
allah yerham el bbm kona bn3ml ping,negative
ana a3raf nas za3lanen mny ala el 3amaloh maaya,negative
khosaret el calories,negative
wimpy ta3ban awi,negative
mesh ayez ashoufek tani,negative
el zodiac signs ta3bako fe dmaghko shwya,negative
shaklaha bedaya mobashera,positive
ana msh gahez lel semester el haybda2 maa nafso da,negative
ana leh msh fe italy dlwa2ty,negative
modheken awe el nas el bye2ta3o maak fag2a,negative
akl el 3eesh morr,negative
ya tara mamsok 3aleh eh ashan yenam el nooma de,negative
ahlek msh hassen bel ne3ma el 3andohom,negative
80 mn el by2olo ahh lw ethatto fel mawqef msh hay3rafo yekhtaro 3amtan,negative
mawqef sa3b awi,negative
atamana tt3arafy ala wahed mohtaram,positive
we2eft 10 mins maa alman kerehtehom el 3omr kolo,negative
yarab nekhlas,negative
ente etnaseiti khalas kda,negative
la gamdaa,positive
ba3d ezn el avwara 3ayz atlob el akl,negative
matetarya2sh aleh baa ashan mathassalosh,negative
ostor yarab,negative
nefse fe mesa2a3a bel bashamel wel lahma el mafroma,positive
msh wa2to el nahrda khales,negative
kda msh 3ayez t2oli,negative
ana ra2ie en enta el ahla w nos,positive
malko magrohen kda leh,negative
shoft ghaffeltouni ezai,negative
msh wa2t emojis khaless,negative
msh hayb2a mafesh hob wla akl ya3ny,negative
el byhsal da mesh tabi3i tab3un,negative
matetfaragosh 3al film da ashan wehesh,negative
3amel hafla lel nas el single bokra,positive
allah dante shatra aho,positive
la ezay ana masdoum,negative
bagi el madrasa 3ashanek,positive
ana basek fihom awi,positive
medaye2 3ashan marahsh,negative
eh el sohola de,positive
el regala lma tehabel,negative
tohfaa shatra awi,positive
kan nefse akhodha date fel valentine bs sahebha afil w msh haywafe2,negative
shokran,positive
tohfaaa,positive
de msh tal3a bel kheel fel ahramat de ghazwa walhy,negative
la danta el mawdou3 lesa m2asar alek lhad dlwaty,negative
aho da 3eib dahab baa,negative
la hawl wla qowat ela bellah,negative
bs ashan mayftekornash maganen,negative
msh 3arfa awsalek,negative
ana etsadamt fiha,negative
el ehtmam el zyada ay shakhs bykhaleh yet3ala alek,negative
rabena ye3enko walhy ya shabab 3al araf el ento feh da,negative
bala2e nas ma3rfhash asasan mdy2in mny,negative
ghasheem enta bardu,negative
el moshkla eno dayman beyedkeb,negative
da ehna lesa hanerghy maa baad,positive
malak ya batal meday2 leh,negative
el naksh da mahabba walhy,positive
ai khedmaaa,positive
lw kan 3ande hosan makansh zaman wa2ef fel zahma de,negative
adeky la2ety haga tesaliki lma takhdy el agaza,positive
waheshny ya3am,positive
mokalmet abo gabal w mamto helwa awe bgd,positive
rekhem awi,negative
hwa eh el habal da wenaby,negative
dante folla,positive
yrod aleha msh ader,negative
fakhoren beko,positive
yarab onsorhom yarab,positive
homa kotar 3alena kda leh,negative
kfaya kda el nahrda wenaby,negative
hwa el nenny byl3ab leh,negative
oksm belah marwan hamdy karsa,negative
de harb el estenzaf de wla eh,negative
la msh ader astahmel shoten kaman,negative
3andi amal f rabena,positive
yarab ostor yarab,negative
hafo2lek baad el match ya 3asal,positive
hases fi haga helwa hatehsal,positive
marmoush araf,negative
el la3eba btestahbel 3amtan,negative
as3ab ehsas fel koon,negative
hasal haga day2etha,negative
rabena yehdek,positive
el donia de malhash aman,negative
lw masr kesbet el banzene hayghla tani,negative
hatebda2y seya7 mn dlwaty wla eh,negative
yoh mamno3 dokhol ely f senena,negative
fekra hayla,positive
3arfen bs lw thebo el kheir le baad,negative
allaha ya baby,positive
akbar engaz f hayati,positive
eh el ehbat dah,negative
da albek maat khales,negative
el nas ta3bana fe dmaghha el yomen dol,negative
hwa eh hwar en el ghaltan hwa el byz3al el yomen dol,negative
eih el zahma el fel shaware3 de,negative
makalemthash gher marra dah kadab,negative
leh kda el rakhma dih,negative
lma btekbar albak bymot,negative
msh m2adarin el n3ma,negative
ma32ol 2ader teheb gheryy,negative
hasal kheir ya masa,positive
rabena yehmek ya abo gabal walhy,positive
hwa wael gomaa khad enzar leh,negative
el mashrou3 fashal,negative
el hakam da mesh mezabat,negative
ahlan ahlaan b habaibi,positive
feh plagiarism wla eh,negative
mnawara,positive
ana msh 3arf ala2eha mnen wla mnen el nahrda,negative
el donia bayza 3al akher,negative
hya sadaka tohtaram w kol haga bs ana 3ayz atgawezek,positive
hwa el semester bta3ek da msh bykhlas leh,negative
da sayye2,negative
haram aleky,negative
de talakeek ashan matzakresh,negative
dmaghek hayla,positive
el ragel da karsa walhy,negative
estanne hanazel sorty ashan ab2a cool ana kaman,positive
ento msh ta3banen ya habaybe,negative
nefse ashuf yom 3edel,negative
seeby el ta3lem ente msh naf3a,negative
el dam el khafef aham mn el shakl el helw,positive
msh ma3na ene bal3ab basket ene ba3raf army el haga,negative
3ayz asafr akammel habal barra masr,negative
gamela el agaza,positive
hasal plot twist khateera,positive
3eib baa,negative
mostafa mohamed da haga astaghfarallah,negative
carmen bsaibes betmasel tohfa,positive
mawwetly yabny el masha3er de,negative
awhash mat3am gable tasamom,negative
mabda2eyan kda mafish ta3lem,negative
hwa yom matl3tlosh shams,negative
olna kfaya kedb,negative
yom malosh ay lazma,negative
ezay tb2a ay kalam fe 20 sanya,negative
do3a2 nesyan eh enta msh mezakr haga aslun,negative
bakrah ahes ene te2el ala alb,negative
de haga wehsha sah,negative
dakhel fe talat ayam dra3e menammel,negative
en el wahed yet3ab ayam el emthanat de mn absha3 el hagat walhy,negative
msh ma32ol kol yeghlat tesam7eh kda sebeh,negative
el kmama btkhno2ne,negative
balash kezb,negative
msh 3ayzenna nenga7 ay tare2a,negative
eh el habal da,negative
3omre m hakhod ra2yk tane,negative
hwa gar shakal w khalas,negative
danto lo2ta walhy,positive
green flag eno by3aml omo helw,positive
atmanna el tweet de tkon tarya2a,negative
de moshkla tanya enek shayfa en mafesh moshkla,negative
hwa eh el 3abat da ya habaybe,negative
ente mehtaga cream taftee7 mokh,negative
3amal tedawar 3al shakhs el sah wenta aslun el shakhs el ghalat,negative
bafarfeshko bema en feh emthanat,positive
ramadan kareem aleina kolena,positive
hatshofy el agdad baa fel emthan,negative
hat2ata3 alaya ya bob wla eh,negative
dana hageblak dry food mn kotr manta betheb banat walhy,negative
ba3d el shar alehom,positive
nezaker fel lagna inshallah,negative
el wa2t msh fe salehna,negative
mahadesh hases bel nas dih,negative
hwa eh da enta hatsta3bat,negative
yikhtii,negative
el nas msh saybane f hale,negative
akhoia f dahre,positive
rafdak le wad3 msh monaseb ashan rahtak msh ananeya,positive
yalahwi 3la zidane la3ib,positive
ha3ayat mn el halawa,positive
rabena maaky,positive
el math da ghareb gdan,negative
hya wedano ezay 3amla kda,negative
momasel shater awe,positive
wente hayatek bayza wla eh,negative
yemken ghaba2ek el mebawaz hayatek msh el hasad,negative
nefse ambeset ana alatoul meday2,negative
ahla hewarat ma3 nafsi,positive
ebtadena ba2a elzan,negative
bet2aldihom helw awe hahahaha,positive
la2 mesh ader enahrda,negative
boss keda keda hay3ml hewar,negative
lma tshofha ew3a tbayen enak mabsot,negative
cinnabon fel gaw da ahsan hal,positive
wahshny hodn el pizza,negative
la ya 3am da dor bard 3ade mafesh haga,positive
3eib aleik wenta f senak dah,negative
da msh ma3ad break khales,negative
leh el hozn da,negative
el akl msh 3agebni,negative
la ezayak eh inshallahh trga3o le ba3d,positive
yaretni m roht daya3t wa2t,negative
ana 3ayz akhdak ala ad 3a2lak bs ana msh la2eh walhy,negative
dakhalt f ekt2ab khalas,negative
ana msh shayf en feh ay dawafe3 le estemrar el hayah,negative
mehtag mo3geza 3ashan angah,negative
msh hatla2e zaye e ya sheikha allah yesamhek,negative
agazet eh el ento a3den t2olo aleha khelset,negative
la2 ana fi el finals banhar,negative
anjelina jolie fe film alexander msh tabe3ya oksm belah,positive
helm hayate ageb hosan,positive
yah lw astakhdem el overthinking da fel mozakra,negative
el mozakra ely abl el emtahan di mowatera,negative
mesh ader aktar men keda,negative
ya sheikha kfaya kedb,negative
bta3te ashyak,positive
helwa el sraha maa el nafs,positive
alak peace baad ada alaya tol el oghneya,negative
3amltha like 3al tweets a3mlha eh aktur mn kda,negative
malhash ay mobarrer el sraha,negative
hahahah tkhale el wahd shaghafo fel hayah ye2el,negative
el aghani el yomen dol gamda,positive
ana basta3gel sohabe wana lesa malbestesh asasan,negative
fekra hayla e3meliha,positive
3ayz el ard tetsha2 w tebla3ny haleyan,negative
ana damen elmawdou3 dah,positive
hata tasgel el mawad sa3b,negative
mat3atebsh ala haga hwa 3arf enaha hatza3alak w 3amlha,negative
mesh fahem fahemouni,negative
ente lehe2te shatra awi,positive
msh 3ayzen 3eyat baa,negative
hasa eni daykha,negative
dah ashtar doctor rohtelo,positive
la2 yom laziz awi,positive
ana te3ebt,negative
hatgawezek ala fekra,positive
da oksm belah el dars dah mafish as3ab meno,negative
rida sotha hwar,positive
la2 keda over awi,negative
ana msh fahm haga,negative
maho mesh hatemna3ni men elakl kaman,negative
hya malha arfana kda leh,negative
n3mlo exception ya salam,positive
kol a3yad el melad bta3t el nahrda de mozawara,negative
mat3melsh fiha tayeb kolena arfin ha2e2tak,negative
yalahwy 3al zahma,negative
kol m afteker bakta2eb,negative
enta k wahed saye2 3arabya leh tegeb el tahzi2 l nafsak,negative
ana mwafe2 gdann,positive
ana mafeyash 3oyob fokek,positive
walhy far2 kber ya shabab enak tkon sare7 w enak tkon bege7,negative
howa eih mawdou3 e3raf men nafsek ana medaye2 men eih da,negative
ba2olek eih eskoti shwaya kfaya zan,negative
tab amatan osbou3 ra7a ba2a,positive
ya3am erefnaaa oksem,negative
ahmed zaki da gamed awee,positive
el koleya di asda tekhalina ne3ayat,negative
ana ata3t ma3ah 5alas,negative
had yaktare7 aghani hozn,negative
mana mesh ashan seket te3melo keda,negative
eih hewar ana shoftak mara fi hayaty w afesh menak,negative
ya ged3an kefaya faty,negative
mashy mashy hakhdak ala ad 3a2lak,negative
la2 maho mesh ashan ana mohtaram te3melo keda,negative
ana asasan ghaltan,negative
mashy ya habebty elly enty ayzah,positive
tamam ashoufak fi el akhra,negative
eh el hatal da,negative
kan yom eswed yom 3reftk wlhi,negative
ana 7amshy delwa2ty ya rab tekouny kewayesa,positive
3alatoul bafakar ad eih enty gameela,positive
fi eh mana brod ahu,negative
tweetatek 3ala wd3ha awe,positive
enta shayef nafsak 3ala eh ya,negative
msh mobrer la msh fadyen yms7oh wfadyen y7otoh bs,negative
batal teza3a2 kol ely meday2ak men shakhs f wesho,negative
3ayza ashofeik rayha nady emta,positive
morning kan ka2eb,negative
ysma3 mn bo2ek,positive
ana k baheer enbhart,positive
khaleeh ahsan lina,positive
rabana ezedak man al3lm,positive
alf slama,positive
3ady kolhum khaynin,negative
ana mesh 2ader afham fy nas btfakar keda ezay,negative
mafish had y3mely ghada w mksla atbokh,negative
mn l nas lb7bha wlahy w l wa7eed l sanad,positive
3yza at3alem el ghona,positive
kol 7aga feky 7lwa wallahy,positive
ya ba5tek,positive
yala b kramtek,negative
ana asfa khalas,positive
enty rekhma awi,negative
hwa ana lazm ab2a 24 sa3a ba3yt,negative
ana ma3mloe 3 quizat embar7 w ana naym,negative
feh 7ad my3rfsh om el donia,positive
bazt rabna yakhdhom,negative
alaz wahed f sohabi,positive
beitk w mtra7k,positive
ya ba7t elly shabahek,positive
enty aslan wegodek sa3ada lel donia kolaha,positive
3ayz bas a2olk enk gameela tayeba 7enayena gad3a,positive
l ashkal l wehsha ketrt kda leh,negative
da wehesh awi aslun awl mara ashofo,negative
happy birthday ya andy 3o2bal kteer isa,positive
ana kan 3andy 3aza w met2asar,negative
lazm abtal azha2 mn elnas besor3a,negative
afshtak,negative
5er insha2allah noura rbna yrg3ko blslama,positive
ta2reban dah awhhash youm fe hayatte,negative
bent amora,positive
mood zay elzeft,negative
kawkab 3erra,negative
rabenna ykhalik,positive
ezz mafesh atyb mno,positive
msh 3rfa heya el hayah wehsha wla ehna el msh bn3rf nshuf gheir el w7sh,negative
enta kazab yasta wallahi,negative
donia ana asef,positive
nsyt lsa hstna l b3d cours ana bmoot,negative
ybny 2nta btmt7n emt7an wa7d d7na bnmt7n kolo,negative
bas zaky bardo,positive
tweets helwa,positive
shoghl el graduation project kolo da3 haga gamila,negative
kafaya wag3 diemagh,negative
3ayez pancakes,positive
3youni,positive
bss donia hatza3a2lak,negative
mabahbkesh w mawahshtneshh,negative
alah ya fanan,positive
fe steen dahya ya,negative
mesh hat5n2 hna y3ny,negative
shofy 3mlty w e7na ray7een ha blash natklm hna,negative
ana mt5an2a ma3aky 3lshan hagat 3mltiha embar7,negative
bas keda kefaya 3alek matzetsh,negative
aghanihom aktar aghany tnf3 tshtaghal hadya kda,positive
ya allah 3al halawa,positive
awel mara ab2a msh 3aref a3ml haga,negative
faday7 eh bs mt2olesh kda wnty tyba ya 3assal,positive
msh msada2k,negative
el nas btakhud krarat msh adaha khals,negative
lala wallahi men ahsan l nas l abltha w inshalah rabena m3ak,positive
nty watnya bzyada shatra,positive
el3arbe yksb,positive
walahy a7san borg sha5sain w kol haga,positive
a7san borg,positive
heya mesh na2sa bard kman aslun,negative
ana 3a2la mat2l2ish,positive
lsa el gay a7la,positive
mohz2 hfd7k hat l sa3a,negative
nadafo demghko shuwaya,negative
yb2a 3eb keda,negative
3la wad3ek,positive
ehrab bsor3a,negative
ana b2et bshof el nas kolha wehsha fa bd3y 3leke akid,negative
wenti a7la bektir,positive
yekhrbet dma3k,negative
hanet hanet,positive
lsa sahya mn sa3teen w 3aiza anam tany,negative
fadahtek,negative
keda mfesh wala malelm hy5rog mn 5aznt el bet,negative
32balk hbibti,positive
y5rbit kda,negative
msh bayen haga msh shayfa,negative
el nas 3ayza menena eh tani ana mesh fahma,negative
eh mfesh hga l wagh elah keda,negative
ta3bana awe bgd,negative
el 3asha feen ya mama ba2a ga3ana,negative
lel asaf la,negative
yoh b2a leeh maynfa3sh a3ml retweet,negative
ya pop dana el 3adet 3shan 3amalt le 7asanolly retweet,positive
men a7la el tweets el shoftaha b2mana,positive
2ktr 7aga t5noo2 lma wa7d y8lt fi 7a2k w kman yz3l mnk,negative
mna modtara a7dr 3ashan el 8yab yabni,negative
rabenna ykhlekk shukrn,positive
e7na bnet3azeb la bgd,negative
mmkn t2lb bgd w l khna2a tzed,negative
msh sayb 7d f halo,negative
3aib ya gma3a eh el nas koollha leh,negative
ana m4 3aref 3loom de hatwdena lfen,negative
sa7 3amalt keda,positive
nas m3ndhash a5la2,negative
l sa7ba l gd3a,positive
tb w lozomha eh ser2et l klam,negative
dah na2es y2ta3 sharayeno,negative
khlas nsit ekhwatakk,negative
7lwa awe awe,positive
wlahi w enti bt2oli helw wlahi,positive
kfaya awe enk tfdly metghaza keda,negative
eh el arf da,negative
heya el gam3a bt3mel keda leh,negative
7raka r5ma awi sar7a mfrod yktbo,negative
lalala bakrah el harakat dih,negative
ay khedma,positive
ahli metkhan2in ma3aya,negative
dehkteha sotha moz3g,negative
kfaia mazzika ba2ty khlst,negative
motfa2el gedan,positive
omy elbsy w embesti,positive
elmohm anha bdhak,positive
bakrah arouh hnak,negative
f3ln laziza,positive
eissa alah yslmak ya sa7be,positive
hadeel allah yslmekk shokran 3ala zo2ek,positive
la ana kolo tmam el7amdollah rbena y5llna masr,positive
la wesel ya basha shokran,positive
ethady,negative
ameen ana w kl elmoslmen,positive
nharna msh bynlo mlam7,negative
yoh bayn kda,negative
elwahd shklo hy3esh mgro7,negative
kan nfsi,negative
rabena y3azih w yesabaro,negative
hamoot mn elt3ab,negative
zetna shwya khlas kfaya,negative
basek fik gidan,positive
eh da wehsh awi,negative
eih ely homa labsino dah,negative
mlhash 7al elsora tohfa,positive
avatar el mar7la el soda el a7na feha de,negative
mashy habbty shokrn teslmli,positive
mshooftsh awhash mn kda bl2mana,negative
la elah ela alah b7ot nfse f mwaqeef by5a,negative
gmail m3yesh el pass bt3o nasyah bardo,negative
enzl bnoktet tab2 elfol,positive
msh da law rakb honda msh hytrasm kda,negative
yoh h3ml whed gded b2a hazi wehesh,negative
tab khafi meni b2a,negative
el mahragan tohfa,positive
7adr helw,positive
etsl bya 2li kotbk hna 2oltlo 5lehom 2am shtmni,negative
asm3 oghnyt enbre7 kan 3omry 20 helwa awe,positive
msh 3ayza tefham eni msh bahebaha,negative
tyb wallhy 5er isa rbna ye2rb el b3ed,positive
w el bio mm3ndesh war2 has2at,negative
madten f yom wa7d leh yarabi kda,negative
tyb wallhy kowyes enk motfka m3ya fel mawdo3 da,positive
la ana mehtag ashel demaghy ahsan,negative
bs kfaya tawator,negative
merna e7lwt,positive
l rap kolo 7aram f 7aram asln,negative
2omi namy shoia el yom bokkra mot3b,negative
ya khosara mn l nas l kont b7bha,negative
bs homa msh gd3in akherhom y2lolk salamtak,negative
s7 wlahi 3ndk 7a2,positive
w b3deen ziena msh ama a3dy mn da l awal,negative
mn atyb elnas ely 3rftaha,positive
bas enta 3asaby,negative
akhoya 7abeeby yala walhy mn atyb elnas ely 3rftaha walahy,positive
momken mkonsh a3rfk mn zaman bs enta gd3 w tyb awi wallahy,positive
ykhrbeet hlawtak,positive
mbc2 ento law t5lony maft7sh msh ht3mlo kda haram ya,negative
eh elhabal ely by2olo dh msh ana khaless asasn,negative
hamout walahy men elta3ab,negative
bt3amleny kda leh,negative
ah ashofk tb3n isa,positive
matklmnsh gher mara bas shaklk tayb,positive
matklmnash gher kam mara bas demagghk bt3gbny,positive
sa7 elkalam,positive
walahi enti l wahshani yala net2abel,positive
enty 3arfa l feha mengher kalamm,positive
damak khafef yabakht sohabak,positive
enta a5ona wallahy a7la far7a f donya,positive
msh l2ya haga a2olha f3lan mdy2a,negative
ma3rfkesh bas basma3 3anek kalam helw,positive
d7kena m3aky lw momkn,positive
leeh l twator,negative
e7na bnkhaf mn emt7nat,negative
la nehda keda fe eh,negative
7amdela 3la slamtk,positive
lesa kont bafkar aktbha enti fi bali,positive
akid btetarya2,negative
ana m7tga 7d bgd ana lwahdi,negative
ya ged3an salo 3al naby mesh keda,negative
ana 3ayez asfer w a3od odam el bahr 7waly shahr masalan,positive
leeh ya baba bt2ol kda,negative
3eeb 3aleek yasta eltry2a deh,negative
rbna y5leko yrgala wlahy,positive
aktr 7aga gamda f update ios 93 night shift,positive
walahi wahshteni,positive
shbhna 3ala ba3d bs tle3t laziz,positive
el sama3at bta3ty bazet,negative
b3ayt,negative
anta cute ahouh feha ya 7assona,positive
ay 5dma ya shaba7,positive
ana wslt el level el helw da mn zaman,positive
fatra w ht3dy msh hafdal medaye2,negative
blash,negative
tmam 7obi,positive
mashy w na bokra hgblk l gdwl brdo,positive
keda b2et nace7,positive
msh fahma haga yart twde7 aktr,negative
shaklo wehesh,negative
tayb mmkn ntshrf b 7drtk,positive
el tweet 3ala wd3ha,positive
5ayfa agrbha aked htb2a s3ba,negative
la de m4 h3mlha retweet 3a4an m4 7assha,negative
walahi anti aktar wahda ray2a shooftha f dmaghi,positive
bs ana msh nasy el3zoma,positive
endfo b2a mn gwa kda,negative
la mat5fesh control,positive
kol el amaken btfkrny biko ahla ayam,positive
3la wad3k ya shab7,positive
f dahya,negative
bestfriends bytla3o a3zar le ba3d,positive
batkhad kol a3ml fav l tweet,negative
la ybni khlas kolha 2 days w hagy abhdelak,negative
enty leh f hayaty walahy leh,negative
enkk 3arfa enkk whsha,negative
fe madrasty kano bykhalona nzaker novels w nmt7en fiha lel asaf,negative
wala za3ly yefre2 ma3 hdd,negative
yekdebo el kedba w yedhako f weshak,negative
gay el ma5roba bokra,negative
enta kwis mn gowa keda wallahy,positive
wel may2darsh,negative
lw sam7ty el cowboy hat el helwa deh mn turkya,positive
fokek ehna gamdeen awe,positive
3omry m nedemt,positive
dyman mawgod wa2t lama bakon mehtgak,positive
rkhessa hatiha,positive
kol sana wa mama taeba,positive
kont wa2ef fl concert bs mat3mlnsh khales bs bahsak laziz,positive
twitter asln lam awe w ba2a w7sh gdnn,negative
t3esh watsaly,positive
byday3li w2ty gdn 3n ay app tany oksem bellah,negative
helw wlahy awi,positive
mafesh kelma 3edla a2olha msh 3arfa,negative
mknsh mnadel khthm mnk l nahrda,negative
3l wd3o w 3arf nfaso,positive
rabana m3ak ya rays,positive
olna mn el awel,negative
eh l swad l f 2lbk dh,negative
ma3rfkesh awel entba3 sha5sia mo7trama,positive
el enta shayfo ya hbibi,positive
fat7alah nt3amel btre2a a7san mn kda,negative
salamtk,positive
fol ya rabbit ntfrg ana w anta bas ba2a,positive
3shan zaharto 3la ha2e2tko,negative
