text,emotion
mfesh yabnty danto banat ay ytmna y3rfko,positive
ezz khlas enta etkabast,negative
ento mn as3ab elnas,negative
enty lama bttklmi btdai2ini,negative
ay habal,negative
rbna m3ki hat3meli helw,positive
na ba2ol tnam 3shan 3andk mdrsa bokra kfaya sahar,negative
mwakf wehsh,negative
fen el arf,negative
ew3a ashba7 biomedical,positive
da afash meni,negative
fekrt el mozkra aslun mot3eba,negative
ana ektashaft enaharda enny momken a3ayat f ay hetta,negative
mafesh 7aga bt7sal mn 3er sabab,positive
fkrah bs ole ya rab,positive
konty m3aya fe ebtda2y tayba gedan mo7trma damk 5afef,positive
yla rekhma,negative
hamot bgd mn elt3ab,negative
habebe 3ady hanwsal msh hanfdl kda,positive
howa 3ml like leeh,negative
ma3lshh enta adaha,positive
ah wallahy ya 3amna,positive
a3dt bzbtt 3 mrat bs bgad mafesh zayk kter m3rfkesh bs bfrh bashufkk,positive
sa7by m3aya fe el school ragel,positive
w ana m3ak dayman msh hasibk,positive
msh hata3raf takhud ha2ak,negative
m3lsh da mosem el natega mb2tch b7lam 3er beha y3di el kabous da,negative
a5oia btshelny fe el le3b,negative
de el safarya de azbatetle hgat kteer helwa,positive
fe 50 gneh da3t w na bgablha elhadya,negative
bashufkk kterr amora gedn,positive
kfaya dehketkk de lwhedha tohfa,positive
mahoma msh bykalemoni gheer w homa zah2aneen,negative
lazem nbda2 nzaker ehna met2khrin awi,negative
w ma3kk w tkon m3 ally bt7bhom,positive
rbna yfrehk daymen w tkon kewyss,positive
hayate enty aslun wahshany gudn walahe,positive
fy dars bokra bio msh ader,negative
etklmna kam mara keda tayeb awi w mohtram wlahy,positive
sanaweya 3ama issues,negative
suhabi beye2lole yala n5rg,positive
ahla zamlkweya fel donya wlahy cute w tayeba awi,positive
ana olt ank gad3a men awel matklmna,positive
mn kotr el mozkra elly mbft7sh,negative
ta3ban awi enaharda,negative
el tweets bt3tak funny awi btdhhak w jacketak helw fel avatar,positive
ymkeen y2ol kelma 3edla,negative
tyb nzla ashofko hnak b2a,positive
nefsy a3yatt,negative
kona bntklem mn fatra tayeb awi,positive
msh 3arfa maklmtksh abl keda bs lek zo2 fel music helw,positive
enty kman w7shany walhy wrko 7aga el arb3 wla la,positive
3la wd3k,positive
ay 7eta bas nkhrug bara africa momkn nru7 dubai,positive
3ayza sanateen talata agaza keda yarab ba2a,negative
kol da 3shan 2oltlk 3la el design w7sh,negative
enti sa7,positive
yekfek shar el zalem,positive
dr zeinab msh bahebaha,negative
w ely kont ba2ol 3leha bestfriend btbosly w tlft weshha 3lshan mtslmsh,negative
yarab twl3 fe mkank,negative
kol sana w kol elomhat b kheer,positive
mot5laki zmano krah nafso wl youm li fakr yklmk wla ys2lk 3n 7aga,negative
haga wehsha lma modares ye2lesh,negative
aw maykonsh asdi khalis w yakhodha 3la nafso,negative
rbna yhdeko yrb w mnb2sh ziko,negative
la argoko mat2kdush enko wehshin ya gama3a la,negative
leh wnto mganen wla eh,negative
aham haga anha badhkny,positive
w7shne sotk el7lw walhy mn ayam eldros wenty kman,positive
ana fashel fel ba2i bgd,negative
mfesh man3,positive
net bati2,negative
mafesh ahla menha,positive
helw awi shaghal aho 3ala mbc2,positive
lazm nru7 m3 b3d isa,positive
eih el bot2 dah sara3i shwaya,negative
elhamdollah,positive
m3rfaksh bsraha bs tweets helwa w shklk mohtram,positive
mafish moshkela hader,positive
da 7a2e2y 3agebni,positive
msh 2odam elnas keda,negative
3shan enty nahs ma3rofa ya3ne,negative
yaret walahy kan yanf3 kont aklto fe amsterdam,negative
bnsm3 23any w 3lyna emt7an physics bokra hatawatar,negative
ana kol el bashrya btetgahlny,negative
yoh enty nemty w bt7lamy bayenn,negative
habeby howa ashan ehna etklmna youmen yb2a bhbk,negative
amo hmada gayb hdaya 7elwa ro7y e3mly shopping,positive
isa kher 7abibi w hat2omi belsalama w tkoni zai el fol,positive
leh ya enas gbty wehsh leh,negative
naytak msh safya,negative
el72 shokoki feeh ba2et tezid,negative
eh al youm al wehesh da,negative
ehdi ya manar hn3rf kman yoman wla 7aga,positive
hanakol eh w hanokhrog feen enhrda,positive
ynfa3 t5aleko f 7alko talabb baseet wlahy,negative
h5dk m3aia el sirk,positive
malk w mal el nass,negative
sabab tafeh awi,negative
yarab erhamny,negative
la walahy ana 8altana w de a5er mara eny a3ml kda,negative
allahom e5zeek ya shetan,negative
ana fe3lan msh ader asada2,negative
3ayza eh fe 3eed el om,positive
shaklo kan youm 7lwo,positive
ana 8altana walahy,negative
leah bt2ol kda day2tni,negative
btfhm walhi,positive
khalas baa matsy7lesh kda,negative
fe wa7d delwa2ty awel mara ashufu 7elw awe,positive
batal t3melha 3lshan al nas betedaye2,negative
rakzy 3ndna emthan bokrra yekhrbetk,negative
bkrah el mo7en,negative
shetan 3ala sahkl bani2adam bgd,negative
ayam helwa,positive
shayfa 3ashan teb2y tesada2ini,negative
la wla lama darbt el bnt bl 2lam grty enty,negative
ybne l sa3a a5oya hyege w ybhdelni lw ml2hash,negative
7afdal andam 3aleeky toul 3omry,negative
bgd fe nass amhathum s3ba awe,negative
yabenti eh 2olli ya tante,negative
w lama yeb2o olalat el adab,negative
ana daf3a feloos leh tayeb ashoof egybest ahsan,negative
sah walahy enta betefham,positive
hwa watchit wa2e3,negative
bakrah youm el khamis da b shakl,negative
sabah el kheir el gaw har msh ader,negative
mehtaga azaker zana2t nafsi zan2a soda,negative
bahes eni offended lama nas tekalemni w tatwaqa3 eni arod,negative
menenn helw awi w laye2 aleiki,positive
ana nafsi mehtaga orientation lesa walahy,negative
regala mo2refa,negative
shokran ankazteni,positive
eh el masoora el mat2afaletsh mn embareh di,negative
da ayam el zaman el gameel akid,positive
msh 3arfa mn gher sohaby kont hatee2 el kawkab da ezay,positive
ana msh adra ashtaghal,negative
ana meday2a mashoftsh bahr ba2ali ktir awi,negative
nefsi a3mel live video a3od a3ayat fi bas,negative
msh adra a3mel haga khalis,negative
kont leh kda bgd,negative
walahy la aftah al3ab,positive
yarab atbeset w ykoun helw,positive
el kahraba ata3et fl office el yom kan na2es,negative
a3da arfana shwaya,negative
ya habibi alf shokr 3andi kolo delwa2ti law 3ayez haga oli,positive
hayati kanet hatb2a alaz b ktir awi law banam 8 sa3at,negative
brb nazla a2ar2ash el gym,positive
bas7a tani youm msh fahma eh el hasal,negative
da yekhreb beet el araf bsaraha,negative
khayfa awi mn el mogtama3,negative
12 pm w fi party lessa shaghala toob 3alena ya rab,negative
sahya laze2 f demaghi el oghneya el wehsha dih,negative
ahel el moshkila di ezay tayeb,negative
walahy 3andi ha2,positive
ay shab hatet soora hnak bi2a,negative
ay shab beyshawer lel camera b soba3o kda lazem yetleghi bardo,negative
ay shab hatet aktar mn soora fl gym ahbal,negative
e3rafi eno lama tenzelo hay3mel nafso azka menek,negative
hayati laziza,positive
nefsi albes el fostan dah bas mehtaga akhes,negative
ya sabah el gamal ya shabab,positive
ana msh 3arfa bakoon meday2a mn eh 99 mn el wa2t,negative
hamoot mn el soda3 3ala ba3d bokra bl ktir,negative
ana bandeb hazzi msh ba2ool yabakhti a3mel eh taani,negative
shayfa nafsi wana badisappoint nafsi aho walahy halan aho,negative
hawelt akoon ensana kwayesa,positive
bakrah el zamalek,negative
el office enharda fi aktar mn 8 bani2admeen msh mesada2a nafsi,positive
helm hayati arouh henak,positive
sebni f haly ya zmelaay,negative
di aktar haga mor3eba shoftaha f hayati,negative
msh 3arfa atsaraf ezay khalas,negative
wehyat el khala2ni law maradetsh ba2ali shahren 3omri harod tani f hayati,negative
3eeb ana mekhatata le kol haga,positive
mehtaga afagar el weekend el fat dah mn zakerti,negative
ya morri yana,negative
bsaraha 90 meni bey2ool bala hamm yabenti,positive
el shabab kolaha gaya b 1 w armat gai b khebto,negative
enta begad hato2bod 3alaya,negative
da3awatak ma3ana ya sheikh omar,positive
shokr khas le wael el 2ali kol sana wenti tayeba enharda,positive
ya gama3a hwa ana fa2eera awi wala eh,negative
hamdella 3al salama,positive
omal law kont 3amla sad face emoji kont olt eh,negative
shahren bardo mn gher el gouna ktir awi,negative
bsaraha el wahid mohrag mn nafso,negative
kont dayman ba2ool kda walahy bas el wahid shaf ktir awi,negative
she2 f montaha el halawa bsaraha,positive
ya rab ehna ghalaba,negative
el montakhab berahto,positive
arga3 youm el talat belel asafer el sobh a3mel eih f hayaty,negative
ahla haga eni asafer ktir keda,positive
hahkelha ana 3an ma2saweyati hatensa mashaklek,negative
3omrek olteeli 3ayza atfarag 3al match ya rekhma,negative
mafish ay haga kedb,positive
nefsi atfarag 3al match m3 36 bani2adam bas lel asaf 3andi 3 sohab,negative
nefsi a3ayat mn kotr el ta3ab walahy,negative
el regala begad ghariba awi awi,negative
wahashni awi salemeeli 3aleh ktir,positive
beyedooni amal kebir awi en hayati tozbot,positive
fedeeha,negative
el gym buddy bta3i shater awi,positive
ya gama3a ba2a,negative
kont 3ayza akhlas mn el mozakra begad,negative
ehna el etnen el judgement bta3na aswa2 mn ba3d b sarahaa,negative
sa3at bansa enak hena,negative
hahahahahahahaha yabenti dareebet el gamal,positive
hayati kanet hateb2a sada awi mn gher hadeer begad,positive
hazak helw awi,positive
masoora far2a3et f weshi msh 3arfa a2felha,negative
la2etha,positive
el esboo3 fi 7 ayam begad leh el weekend she2 mohem,negative
nefsi ab2a productive maktabi w ahweti wahashooni,negative
bat7ayel 3ala modeeri arooh el maktab ba2ali 5 days,negative
rabena yetamenek ya habebti,positive
el wahid msh taye2 nafso,negative
hasa tab ageeb le nafsi el diamond band el nefsi fiha bsaraha,positive
ya3ni eh waraya kol el shoghl dah,negative
wala ana hayathom sa3ba awi,negative
leeh fi hasharat kebira gamb sereeri,negative
leh hayati underwhelming kda ya rab,negative
el wahid begad hatta law abad 3 marrat fl shahr hayefdal fa2eer,negative
nefsi afham el rain jacket da leh lesa msh f dolaby,negative
helemt en el yacht el kont fih ghere2,negative
awel haga ha3melha lama akhef eni harooh lel coiffure a3mel sha3ri,positive
tamenni 3aleh lama yerga3 balado hasa b mas2oleya kebira awi,positive
ya omar enta sharabto eih,negative
kont motahamesa awi lel shorba w tel3et ehbat,negative
eh ba3d 7 law talabt haga b ahwa 3omri ha3raf anam,negative
kan gai f wa2t sah awi,positive
hassa demaghi hatfar2a3 sika bas,negative
3ayza a3ayat mn kotr el ta3ab ahla mesa 3aleki ya 2022,negative
edeelo ya m3alem,positive
eh da fi eh el hasal,negative
mehtaga a2adem shakwa,negative
bsaraha latif awi,positive
law kharagna hambeset,positive
yalahwi khamas seneen masalan,negative
match gamed awi,positive
hawala3 f nafsi shwaya,negative
eih el ksouf dah,negative
bsaraha sa3at bakoon zai el amar,positive
gebt gazma makontsh a3raf eni 3ayzaha gher lama heya warethali,positive
hasa eni tayha f zayed begad 3ayza fer2et enqaz,negative
matrohish khotooba mate3rafish fiha gher el 3aroosa tani,negative
el ye3raf elbent dih yetwasatli 3andaha,positive
begad 3omri kan nefsi aksab haga awi kda abl kda,positive
leh mekasela a3mel kola haga,negative
msh adra at7akem f domoo3i haleyan,negative
nefsi atabtab 3aleh awi ya gama3a,positive
hasa eni dakhalt 3alam el tiktok met2akhar awi,negative
yekrem aslek,positive
rabena yogbor b khatrek,positive
magash f bali dah ashkorekk,positive
khoft as2al w amoot abl m albeso,negative
kesbet m3ana f seba2 el sana di ba3d kanet moktase7a,positive
msh fahma el wahid kan rady leh,negative
begad karsa ya shabab,negative
ana shababi etkhataf meni el sana di,negative
el esboo3 da el wahid metdas 3ala wesho bsaraha,negative
da 3ashan el wahid neyeto safya bas,positive
el wahid mestrayah,positive
mabahbsh el kebda aslan,negative
el credit card da ethan aktar mn ay haga fl donia begad,negative
ana makontsh lazem atfarag 3ala avengers,negative
ana kan 3andi as2ela ktir awi bas olt alf mabrook lel 3aroseen bardo,positive
ah begad kan fayetni ktir awi,negative
e3melolha el heya 3ayzah,positive
shatoora ya rozaaa,positive
la khalas maba2ash mn howayati,negative
kan beyb2a shaklo hilw youm fl sana masalan,negative
gahza asharek,positive
esmek delwa2ti helw aslun,positive
msh 3arfa ab2a mowazafa begad,negative
haga qemma fl estefzaz bsaraha,negative
manteji yabenti,negative
hasa en di ahla haga,positive
mashoftsh aswa2 mn ekhteyarati fl 7ayah begad,positive
masr di kaboos begad,negative
ana amoora awi 3al bayhsali f hayati da begad,negative
begad mosali awi,positive
ana kan eh el khalani akhod elmada dih bas ya rabi,negative
haraga3,negative
ayza arouh 3amatan,positive
ana msh mas2oola 3an ghaba2ak,negative
nefsi eloghneya dih tetla3 mn demaghi,negative
enta msh 3aref te3melha le nafsak hatta,negative
ta2reeban 3ayza arooh dubai tani,positive
sah keda helw awi,positive
3ayza da yehsal halan,positive
wala yehemak 3adi,positive
banat el nas msh le3ba,negative
inshallah hatofrag,positive
mn awhash  talat mawaqef hasalooli f hayati,negative
gahza yabenti,positive
sabah el kheir ya katakeet ya rab yekoon youm amar 3alena kolena,positive
rege3t f kalami kalt moza,negative
ana farkesht abl m adkhol elgeish,negative
shokran 3ala elhagat dih bgd,positive
embareh kont a3da bagled zati mn gher ay sabab,negative
elmasryin alzaz nas bgd,positive
3ayza rehti teb2a hilwa,positive
demaghi hatfar2a3,negative
sohaby msh bey2oolo 3alaya laziza,negative
bas heya to3tabar estesmar sah ya3ni,positive
rehto hilwa 3amatan,positive
batalty gym wala eh la ana motakhazla bas,negative
shokran ya hilwa,positive
haygeeli ekte2ab f khelal sa3a ela rob3,negative
msh adra abos fl meraya begad,negative
matbalghish mafish haga te2dar to2af odam el embesat bta3ek,positive
as3ab esboo3 3ada 3ala nafseyetek f 2021,negative
lameet hagti w herebt f 8 sawani,negative
mehtaga a2bad ba3d bokra bl ktir awi,negative
el wahid bey3mel kemeyet shopping raheeba youm el gom3a el sobh,positive
el wahid be3eed awi,negative
hassa eni f azmet montasaf el 3omr,negative
kol mara baftah el profile da bala2i haga tedaye2ni,negative
3ayza adfen nafsi,negative
el best case scenario hayehsal f hayati emta inshallah,negative
sabah el amar ya gama3a,positive
ehkeeli ana kol mashakli tafha msh hahawel a3aly 3alek,positive
yala bina halan,positive
kont mota2akida,positive
hasa karamti na27a 3alaya sika bas,negative
ya3ni ana law mn sohaby haykoon yabakhti,positive
el wahid hases b tatawor msh 3arfa ezay,negative
good old days ya akhi,positive
3ayzeen wahid mn dol kol youm plz,positive
3o2bali ba2a,positive
nefsi afteker el wa2t,negative
la wana el kont ba2ool shatoora ya farooha,negative
ana 3ayat f la casa de papel da aktar mn el lazem,negative
hahahaha habibti ashoofik bokra wlaa eh,positive
haram 3alek ya akhi,negative
hassa eni shaghala b quality helwa awi,positive
mashallah 3alaya barmeel ghaba2 mabaharamsh,negative
hayatek hatet7asen b nesba kbira,positive
malek ya habebti bas,negative
yarab matkonsh keda,negative
mosta3eda dlwa2ty,positive
law 3andi gym fel beit hatkoun ahla haga,positive
hay3gebek sada2ini,positive
ana w hadeer benebtedi negez ba3d 5 ayam,negative
enta mehtag mo3geza,negative
gai y3alemna derous el hayah,positive
hasa eni met2akhara awi,negative
w atamana akoon gebt el gazma el nefsi fiha,positive
aktar makan nedif,positive
aghani amr diab el hazina betaredni,negative
3ashan kda a2dar a2ool b kol seqa eno wehesh awi,negative
eh hwar el nas el btakol elbeta3 el wehesh dah,negative
el inbody bta3i wehesh awi mehtaga akheslo,negative
malish fihom,negative
tab laziz hagebha,positive
mana 3arfa enohom beyngezo,positive
hagled zati enharda bas w bokra inshallah haheb el kawkab tani,negative
ana begad fadeli 3 mins w akhalasha,positive
walahy el wahid ghalban awi ya gama3a,positive
ba2ali ktir awi madakhaltsh fl moshkela dih,positive
msh arfa afteker,negative
ana bakrah el akla dih,negative
instagram tele3 fi hagat helwa,positive
hahahaha momken f3lan,positive
wala ay haga bashretna gher mo2ahala,negative
msh hasa eni ayza arouh,negative
el hwar da msh 3agebni,negative
hab3atlak tayara tegeebak mn belad el sham,positive
gaya bokra khalini ashoofik,positive
ayza agarabha awi,positive
kont ga3ana awi,negative
ahla mat3am kalt fih,positive
etfaragi 3aleih haye3gebek,positive
el agaza di law makantsh helwa hadaye2,negative
3ayza as7ab el eshterak beta3i,negative
el wahid msh fahem haga khalis,negative
law fashalt eni ahasen mn nafsi hahasen mn shakli ba2a w amri lellah,negative
3ayza akoon farz awal instead farz el msh 3arfa hwa kam el ana fi,negative
khabat el 3arabeya w youm el etnen aleb 3ala youm talat khalis,negative
nefsi mara adkhol interview w akoon 3arfa el nas di 3ayza eh,negative
nefsi kol el nas tekoon mabsoota kol el nas mean ana,positive
daya3o wa2ti w maghoodi w hayati,negative
hafkes ba2eet el youm w arooh el gym bsaraha abl anfager,negative
tehesi el akl na2so haga,negative
garab el makan dah haye3gebak,positive
el wahid eref b montaha el amana,negative
hasa eni hantaher law seme3t zaghroota,negative
mahdsh yete2hom aktar mn kda bsaraha,negative
nefsi aghamad 3eni w fata7ha ala2i odami taba2 halaweyat,positive
ehna msh bngtahed kifaya f hayatna,negative
kol el nas fl bahr ma3ada ana,negative
eh el sot el helw dah bas,positive
nefsi had yeshedeni mn el sereer,negative
ana hasa eni wakhda agaza mn awel ramadan,positive
ayza agarab haga gheiro,negative
ehmed rabena w khalas,positive
msh 3aref gesmo mekasar mn el vaccine wala mn tamreenet embareh,negative
3ala damanti,positive
yala bina mwafe2,positive
yorfos el ne3ma,negative
eh ya habebti el araf dah,negative
3ayza a3mel restart 2021 3ashan bazet meni,negative
hassa hayati hatkoon altaf law adeet nos youmi fl gym,positive
el shabab hawamel makharagoosh ba2alhom shahr,negative
bakol french fries wala akeni rayha a3mel inbody bokra,negative
haram aleik,negative
lahad emta walahy el wahid haynam arfan,negative
el greek yogurt kan fen f hayati w leh kont bakol zabadi 3ady abl kda,positive
ya rab el hasharat temoot,negative
di asaseyat walahy,positive
hab2a asagel el khena2a 3ashan tesada2,negative
dih haga mosaleya 3amatan,positive
sabah el gamal ya gama3a 3amleen eh enharda,positive
hahahahahaahahaha hassa eni fa2eera,negative
mashoftsh had laziz aktar menha,positive
hassa el egaba wadha zai el shams sika,positive
hwa eh el wa7asha di kolaha,negative
el 2al kda makansh beykdeb walahy,positive
ehna gahzeen f ay wa2t le ay 3arka,positive
wa7asha awi tbh,negative
hassa eni daykha shwaya mn el akl,negative
ma2asarsh m3ana f haga,positive
realized eni lesa 7afzaha la illah ela allah,positive
adary eh aktar mn kda da ana alabt account instagram bta3i seya7a w tabkh,negative
masa2 el kheir aleiko,positive
makontsh habba yegeeli heart attack abl adkhol fl 60 bas tamam eshta,negative
ana nefsi ab2a nada el ashmouny awi,positive
ya bakhti 3amatan bas mabhbsh a2ool 3al net,positive
kifaya nakad f hayati,negative
eh zanb el nas temshy bl sharabat fl bard da ya3ni,negative
w begad kemeyet research raheeba,negative
gameel awi begad awi,positive
ana leh sahya mn 6 el sobh f awel youm fl sana bas,negative
motahawer el saraha,negative
ana hasa eni mashoftekish mn million sana,negative
3amleen eh ya gama3a fl araf dah,negative
khayfa anam yegeeli heart attack w amoot wana msh wakhda bali,negative
enharda atwal youm f hayati,negative
hatgawez lama sha3ri yebyad 3ashan loun el sabgha yeb2a amazing,positive
meh,negative
el sleeping pattern el araf da makansh waheshni khalis,negative
mayenfa3sh ansah el sana di begad,negative
3ayza atkawar f kora w amoot mood elhamdulellah,negative
ma3lish asfa,negative
cant 130 pm w begad yeegi ye2telni,negative
ya rab walahy,positive
khalas ya m3alem da enta cute gidan,positive
ana shayfa en 16 sana ta3leem kifaya awi msh lazem nezawedhom etnen kaman khalis,negative
bas kareem gameel,positive
heya el bte7defna walahy f hagat el ghariba di,negative
nefsi f junk food ktir awi,positive
sabah el kheir ya gama3a ezayoko,positive
3ayza a3ayat shwaya,negative
msh 3ayza yekalemni,negative
26 sana eh el ana dakhla 3aleha di ana lesa nazla mn batn omi awel embareh,negative
law dasetni 3arabeya wana a3da fl sereer delwa2ti msh hasarakh hatta,negative
aw akoon madelyet mafateeh 3amatan,negative
el gym kolo ma3ah 1 mashallah wala akenena f andiamo,negative
el shorta hatigi tekahrabni naw,negative
hwa ana kalt mcdonalds wala di tahayo2at,negative
hasa eno tomoo7 hilw,positive
nefsi albes fostan silver,positive
3ayza hagat kwayesa delwa2ti 3ashan manotesh mn el shebak,negative
matenkerish,negative
aywa bas ana 3ayza kol el nas te2oli ya doctora,positive
da shab 3ando 17 sana lesa maktamalsh,negative
ana hena tani lelasaf,negative
inshallah life time akoon shagara betala3loko oxygen,negative
f rassedr w haghazeeki,positive
3ayza a3od f pool fady amlah b demoo3i haleyan,negative
ha3ayat,negative
3eeb 3alek,negative
msh hahes bl zanb wana f vasko tani khalas,positive
shoofi shaarawy kaman karsa w andiamo embareh kan ma2sah begad hozn,negative
aywa sah walahi,positive
ana 3ayza elsanadi tani,positive
ba7qed 3ala kol el nas el bt3mel ay monasba,negative
momken nerouh,positive
tohfa ana 2 bezabt hakoon fadjya,positive
khodooni ma3ako,positive
law betrawah badri kol da msh hayehsal,negative
yughuty,positive
hwa fi maya aslan f soul ya tarzan,negative
ana el hakhadarha w asafer,negative
3alehom hagat el amreekan dol,negative
ana emotional awi bardo,negative
ha2ek bgd enty keda fair,positive
hadia kda f nafsaha,positive
el nas el rewsha henak,positive
3andaha maharat excel ghariba ya gama3a begad,positive
haneb2a power couple awi 3amatan,positive
el date bta3ek 3andi ana w kareem,positive
hahahahahahaha ezay keda,positive
esmaha la2 ya kareem la2a,negative
tab nengez nafsena 3ashan 7anoon btenhar walahy,negative
lama 7anoona teb2a a3da gambak tegeblak el tafaya,positive
lama neshoof magaybek,negative
baddi 3edeya,positive
allahoma ehfazna,positive
hahahahahahhahahahaha kalb,positive
da teneh awi ya hussam,negative
rawa2i kdaaa ha,negative
karsa m2ala2ni,negative
da helw awi keda ezai tayeb,positive
e32al kda w rooh hat iphone rabena yekremak,negative
maho mahdsh yes2al 3ala android bardo ya rashid,negative
khalihom 3ala 3amahom,negative
lessa betendeb 3ala 7azzaha lessa 3ayza te2tel el regala,negative
msh ma3na enak kol te3mel plan lel safar tebooz enaha overrated ya hussam la2a,negative
meen hatgelha corona,negative
karsa,negative
walahy hadretak ana awel m qarart arooh afalo el gyms,negative
amoor awi,positive
eh el bo2s dah,negative
bas hwa amoor awi 3amatan,positive
el happy families beyhazenooni 3ala hayati awi ya gama3a begad,negative
mabaheboosh khalis,negative
osbor 3ala rez2ak,positive
balash netkalem 3al nas,negative
da enta enharda tale3 fl video helw awi,positive
ana el ghaltana,negative
heya el nas leih betigi ala el tayebin,negative
el alwan lay2a ala ba3daha,positive
ana ma3ak ya sahby fi ay haga,positive
tab leih keda tayeb,negative
ma3lesh ha2ak alaya el mara di,positive
hazi dayman araf bgd hate it,negative
